date,recession_actual,forward_actual,prob_contemp,prob_forward,warning_flag,Inflation,Labour,Financial,Monetary,Real
2010-02-01,0,0,0.0004971893862641558,0.0796811140732761,0,42.10526315789473,76.66666666666667,28.870292887029287,34.583333333333336,10.833333333333334
2010-03-01,0,0,0.0016323999481000714,0.14002245364346635,0,38.46153846153847,72.08333333333333,18.33333333333333,36.66666666666666,1.6666666666666667
2010-04-01,0,0,0.0007955707281075709,0.17363273234751736,0,37.5,66.66666666666666,22.08333333333333,38.333333333333336,1.6666666666666667
2010-05-01,0,0,0.00012045866910219054,0.6840866139457313,1,34.14634146341464,60.41666666666666,87.5,45.0,1.25
2010-06-01,0,0,0.012383819287387608,0.4179070360440793,1,33.33333333333333,55.41666666666667,52.91666666666666,51.24999999999999,4.166666666666666
2010-07-01,0,0,0.0019994419740985807,0.39730819706922366,0,27.906976744186046,54.58333333333333,54.16666666666666,52.5,5.416666666666667
2010-08-01,0,0,0.011852355121904894,0.27028357862339386,0,27.27272727272727,54.58333333333333,41.25,53.333333333333336,10.416666666666668
2010-09-01,0,0,0.003921667193206925,0.45929911143183316,1,26.666666666666668,52.083333333333336,32.5,52.5,7.5
2010-10-01,0,0,0.0017548056625701026,0.39164848190066776,0,30.434782608695656,44.583333333333336,39.16666666666666,52.083333333333336,9.583333333333334
2010-11-01,0,0,0.003933813760466656,0.5274853798447329,1,34.04255319148936,40.41666666666666,38.333333333333336,46.25,10.416666666666668
2010-12-01,0,0,0.0032922790840997115,0.0376201223828315,0,41.66666666666667,29.166666666666668,23.75,35.833333333333336,11.25
2011-01-01,0,0,0.0021754467183969072,0.02412260779171866,0,53.06122448979592,24.58333333333333,13.333333333333334,33.75,16.666666666666664
2011-02-01,0,0,0.0011288410942917268,0.017592206989011067,0,57.99999999999999,17.5,11.25,32.5,17.5
2011-03-01,0,0,0.0004849619673264895,0.16290112373413543,0,64.70588235294117,13.750000000000002,40.0,35.0,24.58333333333333
2011-04-01,0,0,0.0032924137520727297,0.29233558436597484,0,75.0,13.333333333333334,25.833333333333336,33.75,29.166666666666668
2011-05-01,0,0,0.0030221598950641894,0.8281632703193759,1,69.81132075471697,22.08333333333333,32.5,33.75,31.25
2011-06-01,0,0,0.01400144735299849,0.5931466976032802,1,62.96296296296296,27.08333333333333,44.583333333333336,32.5,32.083333333333336
2011-07-01,0,0,0.02449341333290295,0.18171334247357354,0,67.27272727272727,22.916666666666664,38.333333333333336,32.083333333333336,49.16666666666666
2011-08-01,0,0,0.0022346086521293686,0.48611774575452465,1,62.5,19.166666666666668,91.66666666666666,41.25,57.49999999999999
2011-09-01,0,0,0.05405780393336917,0.438690776640756,1,56.14035087719298,18.33333333333333,73.33333333333333,47.5,57.08333333333333
2011-10-01,0,0,0.015561273945957898,0.35657658515333235,0,60.3448275862069,17.916666666666668,65.0,46.66666666666666,55.00000000000001
2011-11-01,0,0,0.049122308995990384,0.06976416814654707,0,64.40677966101694,9.166666666666666,50.0,40.833333333333336,61.25000000000001
2011-12-01,0,0,0.01608780812385888,0.06455771784639501,0,58.333333333333336,8.333333333333332,44.16666666666666,37.91666666666666,66.66666666666666
2012-01-01,0,0,0.005806661775426301,0.07520583909964626,0,63.934426229508205,7.5,43.75,42.91666666666666,66.66666666666666
2012-02-01,0,0,0.016235622713256914,0.29397874179253475,0,69.35483870967742,7.083333333333333,40.833333333333336,42.91666666666666,60.41666666666666
2012-03-01,0,0,0.01703496754773081,0.17844638880657498,0,82.53968253968253,6.25,27.916666666666668,38.75,66.25
2012-04-01,0,0,0.0038659151492365894,0.5089167617415085,1,67.1875,7.916666666666666,40.833333333333336,44.583333333333336,63.33333333333333
2012-05-01,0,0,0.0026780281536046505,0.4115709978768947,1,52.30769230769232,9.583333333333334,59.583333333333336,53.333333333333336,59.583333333333336
2012-06-01,0,0,0.0032617444826964354,0.09975475915778374,0,48.48484848484848,10.416666666666668,56.25,63.33333333333333,66.66666666666666
2012-07-01,0,0,0.0038448711614212797,0.27556783626055903,0,44.776119402985074,10.416666666666668,47.5,66.25,51.66666666666667
2012-08-01,0,0,0.009616670145235665,0.4431072114188031,1,50.0,10.0,35.833333333333336,51.66666666666667,43.75
2012-09-01,0,0,0.004840598690515523,0.28511451037228375,0,69.56521739130434,10.0,24.58333333333333,45.0,46.25
